patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2609;2608;karma;Karma;45.55;22.09;10.1;32.19;0.0;0.0;0;0.0;0
2609;2608;karthus;Karthus;49.6;4.75;1.37;6.12;0.0;0.0;0;0.0;0
2609;2608;kassadin;Kassadin;42.53;6.24;3.94;10.18;0.0;0.0;0;0.0;0
2609;2608;katarina;Katarina;47.69;14.83;11.3;26.13;0.0;0.0;0;0.0;0
2609;2608;kayle;Kayle;48.01;8.6;4.99;13.59;0.0;0.0;0;0.0;0
2609;2608;kayn;Kayn;48.27;12.62;3.79;16.41;0.0;0.0;0;0.0;0
2609;2608;kennen;Kennen;46.17;5.0;1.86;6.86;0.0;0.0;0;0.0;0
2609;2608;khazix;Kha'Zix;53.91;10.77;4.72;15.49;0.0;0.0;0;0.0;0
2609;2608;kindred;Kindred;47.82;5.03;1.84;6.87;0.0;0.0;0;0.0;0
2609;2608;kled;Kled;47.88;3.87;0.82;4.69;0.0;0.0;0;0.0;0
2609;2608;kogmaw;Kog'Maw;50.98;4.43;0.49;4.92;0.0;0.0;0;0.0;0
2609;2608;ksante;K'Sante;48.08;7.4;2.12;9.52;0.0;0.0;0;0.0;0
2609;2608;leblanc;LeBlanc;45.57;10.29;14.84;25.13;0.0;0.0;0;0.0;0
2609;2608;leesin;Lee Sin;46.27;25.72;12.64;38.36;0.0;0.0;0;0.0;0
2609;2608;leona;Leona;41.96;12.7;6.26;18.96;0.0;0.0;0;0.0;0
2609;2608;lillia;Lillia;44.98;7.04;2.21;9.25;0.0;0.0;0;0.0;0
2609;2608;lissandra;Lissandra;47.03;12.73;3.17;15.9;0.0;0.0;0;0.0;0
2609;2608;lucian;Lucian;44.98;19.79;3.25;23.04;0.0;0.0;0;0.0;0
2609;2608;lulu;Lulu;45.48;21.88;10.74;32.62;0.0;0.0;0;0.0;0
2609;2608;lux;Lux;47.05;20.23;2.78;23.01;0.0;0.0;0;0.0;0
2609;2608;malphite;Malphite;48.0;16.54;19.63;36.17;0.0;0.0;0;0.0;0
2609;2608;malzahar;Malzahar;45.62;15.0;9.52;24.52;0.0;0.0;0;0.0;0
2609;2608;maokai;Maokai;48.77;6.0;0.2;6.2;0.0;0.0;0;0.0;0
2609;2608;masteryi;Master Yi;48.33;15.06;15.74;30.8;0.0;0.0;0;0.0;0
2609;2608;mel;Mel;42.62;13.67;33.72;47.39;0.0;0.0;0;0.0;0
2609;2608;milio;Milio;43.22;15.71;6.29;22.0;0.0;0.0;0;0.0;0
2609;2608;missfortune;Miss Fortune;42.27;14.07;1.22;15.29;0.0;0.0;0;0.0;0
2609;2608;mordekaiser;Mordekaiser;47.03;12.04;7.48;19.52;0.0;0.0;0;0.0;0
2609;2608;morgana;Morgana;50.24;9.93;15.26;25.19;0.0;0.0;0;0.0;0
2609;2608;naafiri;Naafiri;48.52;18.72;23.69;42.41;0.0;0.0;0;0.0;0
2609;2608;nami;Nami;38.21;31.79;4.69;36.48;0.0;0.0;0;0.0;0
2609;2608;nasus;Nasus;47.74;9.97;4.77;14.74;0.0;0.0;0;0.0;0
2609;2608;nautilus;Nautilus;47.01;19.84;13.96;33.8;0.0;0.0;0;0.0;0
2609;2608;neeko;Neeko;48.96;5.25;1.26;6.51;0.0;0.0;0;0.0;0
2609;2608;nidalee;Nidalee;48.28;5.37;1.13;6.5;0.0;0.0;0;0.0;0
2609;2608;nilah;Nilah;48.17;3.05;2.99;6.04;0.0;0.0;0;0.0;0
2609;2608;nocturne;Nocturne;44.85;16.66;14.49;31.15;0.0;0.0;0;0.0;0
2609;2608;nunu;Nunu & Willump;44.9;5.41;0.71;6.12;0.0;0.0;0;0.0;0
2609;2608;olaf;Olaf;50.11;5.57;2.31;7.88;0.0;0.0;0;0.0;0
2609;2608;orianna;Orianna;38.17;9.54;1.19;10.73;0.0;0.0;0;0.0;0
2609;2608;ornn;Ornn;48.12;11.01;0.96;11.97;0.0;0.0;0;0.0;0
2609;2608;pantheon;Pantheon;48.67;14.79;1.65;16.44;0.0;0.0;0;0.0;0
2609;2608;poppy;Poppy;50.41;6.46;2.99;9.45;0.0;0.0;0;0.0;0
2609;2608;pyke;Pyke;45.27;12.41;25.71;38.12;0.0;0.0;0;0.0;0
2609;2608;qiyana;Qiyana;50.29;7.24;2.09;9.33;0.0;0.0;0;0.0;0
2609;2608;quinn;Quinn;47.8;3.05;0.81;3.86;0.0;0.0;0;0.0;0
2609;2608;rakan;Rakan;52.01;6.82;0.3;7.12;0.0;0.0;0;0.0;0
2609;2608;rammus;Rammus;48.3;3.96;3.59;7.55;0.0;0.0;0;0.0;0
2609;2608;reksai;Rek'Sai;47.88;5.39;1.75;7.14;0.0;0.0;0;0.0;0
2609;2608;rell;Rell;47.75;6.99;0.97;7.96;0.0;0.0;0;0.0;0
2609;2608;renata;Renata Glasc;46.14;2.15;0.13;2.28;0.0;0.0;0;0.0;0
2609;2608;renekton;Renekton;36.82;12.8;4.55;17.35;0.0;0.0;0;0.0;0
2609;2608;rengar;Rengar;49.7;9.18;9.89;19.07;0.0;0.0;0;0.0;0
2609;2608;riven;Riven;49.55;7.77;2.66;10.43;0.0;0.0;0;0.0;0
2609;2608;rumble;Rumble;47.5;5.82;1.68;7.5;0.0;0.0;0;0.0;0
2609;2608;ryze;Ryze;43.61;8.43;0.89;9.32;0.0;0.0;0;0.0;0
2609;2608;samira;Samira;44.08;10.41;7.1;17.51;0.0;0.0;0;0.0;0
2609;2608;sejuani;Sejuani;48.21;4.56;0.18;4.74;0.0;0.0;0;0.0;0
2609;2608;senna;Senna;47.9;16.75;1.47;18.22;0.0;0.0;0;0.0;0
2609;2608;seraphine;Seraphine;45.86;15.32;1.7;17.02;0.0;0.0;0;0.0;0
2609;2608;sett;Sett;47.17;11.22;2.63;13.85;0.0;0.0;0;0.0;0
2609;2608;shaco;Shaco;45.23;10.44;15.93;26.37;0.0;0.0;0;0.0;0
2609;2608;shen;Shen;51.63;13.37;2.97;16.34;0.0;0.0;0;0.0;0
2609;2608;shyvana;Shyvana;44.19;10.26;7.78;18.04;0.0;0.0;0;0.0;0
2609;2608;singed;Singed;47.6;5.64;0.84;6.48;0.0;0.0;0;0.0;0
2609;2608;sion;Sion;49.6;13.45;1.26;14.71;0.0;0.0;0;0.0;0
2609;2608;sivir;Sivir;37.62;9.44;3.18;12.62;0.0;0.0;0;0.0;0
2609;2608;skarner;Skarner;44.91;2.92;0.21;3.13;0.0;0.0;0;0.0;0
2609;2608;smolder;Smolder;41.29;23.98;6.72;30.7;0.0;0.0;0;0.0;0
2609;2608;sona;Sona;45.78;8.75;0.65;9.4;0.0;0.0;0;0.0;0
2609;2608;soraka;Soraka;45.3;12.41;3.02;15.43;0.0;0.0;0;0.0;0
2609;2608;swain;Swain;47.63;10.96;2.62;13.58;0.0;0.0;0;0.0;0
2609;2608;sylas;Sylas;48.32;26.29;12.0;38.29;0.0;0.0;0;0.0;0
2609;2608;syndra;Syndra;43.85;10.82;3.17;13.99;0.0;0.0;0;0.0;0
2609;2608;tahmkench;Tahm Kench;49.77;8.79;1.7;10.49;0.0;0.0;0;0.0;2
2609;2608;taliyah;Taliyah;48.31;4.97;0.36;5.33;0.0;0.0;0;0.0;2
2609;2608;talon;Talon;44.48;13.68;6.77;20.45;0.0;0.0;0;0.0;0
2609;2608;taric;Taric;46.89;2.86;0.29;3.15;0.0;0.0;0;0.0;0
2609;2608;teemo;Teemo;47.95;7.92;3.74;11.66;0.0;0.0;0;0.0;0
2609;2608;thresh;Thresh;41.73;27.72;8.2;35.92;0.0;0.0;0;0.0;0
