nome_join;Name;Win %;Pick %;Ban %;patch
shaco;Shaco;44.27;12.07;16.37;2611
shen;Shen;50.28;10.03;1.03;2611
shyvana;Shyvana;39.87;8.88;6.22;2611
singed;Singed;50.47;6.49;1.08;2611
sion;Sion;50.5;14.37;1.35;2611
sivir;Sivir;42.48;8.38;1.86;2611
skarner;Skarner;48.56;3.53;0.28;2611
smolder;Smolder;39.18;20.51;24.26;2611
sona;Sona;38.37;5.85;0.28;2611
soraka;Soraka;48.76;10.89;2.4;2611
swain;Swain;48.54;10.19;1.88;2611
sylas;Sylas;48.41;26.8;11.46;2611
syndra;Syndra;45.62;9.29;2.47;2611
tahmkench;Tahm Kench;50.48;9.72;1.96;2611
taliyah;Taliyah;49.51;5.02;0.38;2611
talon;Talon;46.6;15.88;10.72;2611
taric;Taric;49.25;2.67;0.23;2611
teemo;Teemo;49.24;12.62;8.97;2611
thresh;Thresh;44.63;27.19;7.89;2611
tristana;Tristana;44.76;9.06;0.97;2611
trundle;Trundle;46.2;4.34;0.32;2611
tryndamere;Tryndamere;47.04;7.25;2.15;2611
twistedfate;Twisted Fate;45.96;12.45;1.1;2611
twitch;Twitch;45.38;11.6;5.96;2611
udyr;Udyr;47.2;5.71;1.02;2611
urgot;Urgot;45.5;5.28;0.74;2611
varus;Varus;46.35;16.16;5.64;2611
vayne;Vayne;48.41;17.64;12.66;2611
veigar;Veigar;50.07;9.86;0.91;2611
velkoz;Vel'Koz;43.82;12.24;1.51;2611
vex;Vex;44.87;5.19;2.96;2611
vi;Vi;47.83;11.23;1.4;2611
viego;Viego;48.46;19.21;7.49;2611
viktor;Viktor;47.64;21.51;9.74;2611
vladimir;Vladimir;43.17;15.58;7.66;2611
volibear;Volibear;46.91;7.62;1.55;2611
warwick;Warwick;46.21;9.18;1.69;2611
wukong;Wukong;49.35;11.58;1.36;2611
xayah;Xayah;47.6;7.49;0.48;2611
xerath;Xerath;45.02;19.04;8.33;2611
xinzhao;Xin Zhao;48.89;20.73;7.93;2611
yasuo;Yasuo;46.1;22.57;16.97;2611
yone;Yone;44.99;23.78;5.51;2611
yorick;Yorick;47.1;7.86;6.93;2611
yunara;Yunara;41.96;9.74;1.29;2611
yuumi;Yuumi;29.61;10.07;6.97;2611
zaahen;Zaahen;50.45;6.27;1.94;2611
zac;Zac;51.47;6.1;0.95;2611
zed;Zed;47.19;21.43;27.98;2611
zeri;Zeri;47.3;9.06;0.55;2611
ziggs;Ziggs;45.28;5.51;0.52;2611
zilean;Zilean;48.13;6.5;1.34;2611
zoe;Zoe;47.21;8.5;5.33;2611
zyra;Zyra;49.13;7.33;2.22;2611
