nome_join;Name;Win %;Pick %;Ban %;patch
aatrox;Aatrox;48.31;14.06;7.83;2611
ahri;Ahri;50.67;21.51;4.46;2611
akali;Akali;41.03;17.6;18.78;2611
akshan;Akshan;46.82;5.98;2.88;2611
alistar;Alistar;42.79;8.59;1.61;2611
ambessa;Ambessa;46.7;10.75;8.35;2611
amumu;Amumu;40.61;4.85;0.99;2611
anivia;Anivia;46.48;10.02;4.55;2611
annie;Annie;46.46;6.59;0.77;2611
aphelios;Aphelios;42.34;8.68;1.49;2611
ashe;Ashe;42.69;28.59;8.84;2611
aurelionsol;Aurelion Sol;48.07;5.4;0.75;2611
aurora;Aurora;43.07;7.52;2.18;2611
azir;Azir;44.96;3.62;0.29;2611
bard;Bard;42.96;14.5;4.16;2611
belveth;Bel'Veth;46.89;4.33;3.28;2611
blitzcrank;Blitzcrank;36.99;10.3;10.91;2611
brand;Brand;49.94;18.45;11.15;2611
braum;Braum;40.54;9.95;6.92;2611
briar;Briar;48.37;10.43;8.98;2611
caitlyn;Caitlyn;41.5;32.45;22.38;2611
camille;Camille;48.68;8.0;0.95;2611
cassiopeia;Cassiopeia;47.72;5.76;1.91;2611
chogath;Cho'Gath;48.72;7.27;0.62;2611
corki;Corki;44.13;3.73;0.35;2611
darius;Darius;48.18;15.14;13.47;2611
diana;Diana;47.91;21.47;6.91;2611
draven;Draven;43.09;9.21;13.69;2611
drmundo;Dr. Mundo;46.91;8.8;2.99;2611
ekko;Ekko;50.02;15.69;2.22;2611
elise;Elise;48.53;6.02;1.46;2611
evelynn;Evelynn;48.33;5.67;2.77;2611
ezreal;Ezreal;41.94;35.78;8.57;2611
fiddlesticks;Fiddlesticks;50.26;6.07;1.43;2611
fiora;Fiora;49.76;6.86;5.09;2611
fizz;Fizz;47.85;12.98;7.44;2611
galio;Galio;48.28;10.79;1.55;2611
gangplank;Gangplank;38.03;11.45;5.49;2611
garen;Garen;40.9;16.82;6.47;2611
gnar;Gnar;43.99;7.32;1.17;2611
gragas;Gragas;49.7;8.06;0.75;2611
graves;Graves;44.66;24.18;16.0;2611
gwen;Gwen;45.51;6.52;2.86;2611
hecarim;Hecarim;44.34;8.71;3.85;2611
heimerdinger;Heimerdinger;50.5;4.0;1.57;2611
hwei;Hwei;51.25;9.84;1.65;2611
illaoi;Illaoi;47.09;5.03;3.89;2611
irelia;Irelia;43.89;14.21;13.86;2611
ivern;Ivern;48.35;3.01;0.42;2611
janna;Janna;42.73;7.8;0.89;2611
jarvaniv;Jarvan IV;46.53;14.96;1.57;2611
jax;Jax;48.0;13.55;11.42;2611
jayce;Jayce;47.24;15.53;5.87;2611
jhin;Jhin;44.0;31.3;1.26;2611
jinx;Jinx;43.71;24.7;2.67;2611
kaisa;Kai'Sa;45.08;25.44;1.37;2611
kalista;Kalista;46.98;3.56;0.25;2611
karma;Karma;44.87;18.04;6.89;2611
karthus;Karthus;49.82;5.28;1.53;2611
kassadin;Kassadin;43.41;6.38;3.1;2611
katarina;Katarina;47.99;16.81;12.15;2611
kayle;Kayle;49.58;6.95;2.99;2611
kayn;Kayn;44.8;15.95;5.29;2611
kennen;Kennen;46.02;4.0;1.17;2611
khazix;Kha'Zix;37.35;11.82;3.67;2611
kindred;Kindred;44.97;5.03;1.72;2611
kled;Kled;47.32;3.61;0.81;2611
kogmaw;Kog'Maw;47.67;4.59;0.43;2611
ksante;K'Sante;45.37;10.25;3.18;2611
leblanc;LeBlanc;43.52;9.03;13.07;2611
leesin;Lee Sin;46.66;30.3;19.96;2611
leona;Leona;40.32;15.81;6.55;2611
lillia;Lillia;49.26;5.03;1.49;2611
lissandra;Lissandra;47.03;11.15;3.16;2611
lucian;Lucian;44.01;17.98;2.91;2611
lulu;Lulu;43.67;18.67;8.39;2611
lux;Lux;45.54;22.31;3.05;2611
malphite;Malphite;47.85;18.16;19.29;2611
malzahar;Malzahar;47.26;14.27;10.63;2611
maokai;Maokai;50.2;5.02;0.15;2611
masteryi;Master Yi;48.67;15.43;16.16;2611
mel;Mel;42.5;12.67;22.71;2611
milio;Milio;40.08;13.85;5.24;2611
missfortune;Miss Fortune;40.31;13.78;0.78;2611
mordekaiser;Mordekaiser;46.39;10.42;6.77;2611
morgana;Morgana;49.6;9.74;14.85;2611
naafiri;Naafiri;48.96;17.92;32.38;2611
nami;Nami;41.28;19.92;2.18;2611
nasus;Nasus;46.79;8.48;3.4;2611
nautilus;Nautilus;48.32;21.93;14.33;2611
neeko;Neeko;49.56;4.66;0.86;2611
nidalee;Nidalee;46.77;6.6;1.38;2611
nilah;Nilah;38.18;2.5;2.23;2611
nocturne;Nocturne;48.27;16.47;16.7;2611
nunu;Nunu & Willump;45.27;5.42;0.62;2611
olaf;Olaf;49.91;6.28;2.73;2611
orianna;Orianna;48.12;7.68;0.92;2611
ornn;Ornn;49.42;9.22;0.72;2611
pantheon;Pantheon;49.04;15.51;1.91;2611
poppy;Poppy;49.19;6.88;2.75;2611
pyke;Pyke;44.35;13.41;26.73;2611
qiyana;Qiyana;49.92;7.85;2.04;2611
quinn;Quinn;49.93;7.87;1.96;2611
rakan;Rakan;46.07;7.69;0.31;2611
rammus;Rammus;49.41;4.02;3.67;2611
reksai;Rek'Sai;51.47;5.62;1.92;2611
rell;Rell;45.45;8.05;1.22;2611
renata;Renata Glasc;42.25;2.27;0.14;2611
renekton;Renekton;43.13;10.59;3.94;2611
rengar;Rengar;44.18;9.78;9.76;2611
riven;Riven;48.95;9.91;3.0;2611
rumble;Rumble;48.48;5.17;1.27;2611
ryze;Ryze;44.83;9.25;0.86;2611
samira;Samira;42.89;9.79;5.94;2611
sejuani;Sejuani;50.79;4.28;0.15;2611
senna;Senna;51.32;32.22;6.35;2611
seraphine;Seraphine;47.58;25.77;7.68;2611
sett;Sett;47.77;10.25;2.26;2611
