nome_join;Name;Win %;Pick %;Ban %;patch
aatrox;Aatrox;47.08;17.4;8.56;2612
ahri;Ahri;45.38;20.84;4.0;2612
akali;Akali;41.41;17.45;18.28;2612
akshan;Akshan;45.92;5.94;2.68;2612
alistar;Alistar;42.46;8.7;1.54;2612
ambessa;Ambessa;48.48;10.44;7.32;2612
amumu;Amumu;40.22;4.77;0.96;2612
anivia;Anivia;47.03;8.57;4.02;2612
annie;Annie;46.72;5.86;0.7;2612
aphelios;Aphelios;43.67;9.15;1.41;2612
ashe;Ashe;41.83;24.1;7.1;2612
aurelionsol;Aurelion Sol;49.32;4.82;0.66;2612
aurora;Aurora;44.34;6.8;1.98;2612
azir;Azir;41.51;3.45;0.27;2612
bard;Bard;38.75;14.94;4.4;2612
belveth;Bel'Veth;46.41;4.74;3.59;2612
blitzcrank;Blitzcrank;36.48;11.29;11.28;2612
brand;Brand;49.76;16.74;10.88;2612
braum;Braum;39.73;9.32;6.11;2612
briar;Briar;47.72;10.3;8.88;2612
caitlyn;Caitlyn;40.72;30.64;21.0;2612
camille;Camille;46.9;9.63;1.11;2612
cassiopeia;Cassiopeia;47.12;5.6;2.02;2612
chogath;Cho'Gath;49.18;7.31;0.63;2612
corki;Corki;43.03;3.2;0.29;2612
darius;Darius;47.38;15.26;13.59;2612
diana;Diana;48.21;19.01;6.1;2612
draven;Draven;44.89;8.79;12.89;2612
drmundo;Dr. Mundo;47.86;8.65;2.83;2612
ekko;Ekko;49.95;15.39;1.97;2612
elise;Elise;47.21;5.95;1.4;2612
evelynn;Evelynn;47.45;5.29;2.57;2612
ezreal;Ezreal;42.17;33.49;7.65;2612
fiddlesticks;Fiddlesticks;50.37;6.03;1.33;2612
fiora;Fiora;47.23;7.09;5.03;2612
fizz;Fizz;50.33;13.04;7.93;2612
galio;Galio;47.28;10.74;1.67;2612
gangplank;Gangplank;45.41;11.96;5.73;2612
garen;Garen;44.98;17.87;6.78;2612
gnar;Gnar;46.08;6.97;1.2;2612
gragas;Gragas;50.14;8.25;0.76;2612
graves;Graves;45.14;23.91;15.76;2612
gwen;Gwen;48.36;7.88;3.19;2612
hecarim;Hecarim;29.72;8.01;3.85;2612
heimerdinger;Heimerdinger;50.63;3.72;1.54;2612
hwei;Hwei;46.97;16.45;2.99;2612
illaoi;Illaoi;42.33;5.31;4.04;2612
irelia;Irelia;40.96;15.1;13.77;2612
ivern;Ivern;49.22;2.96;0.42;2612
janna;Janna;37.44;7.56;0.77;2612
jarvaniv;Jarvan IV;45.42;14.59;1.54;2612
jax;Jax;47.96;15.53;12.36;2612
jayce;Jayce;47.71;17.83;6.46;2612
jhin;Jhin;43.37;29.83;1.18;2612
jinx;Jinx;44.46;23.04;2.46;2612
kaisa;Kai'Sa;44.39;24.89;1.33;2612
kalista;Kalista;42.31;4.48;0.31;2612
karma;Karma;44.43;17.1;5.92;2612
karthus;Karthus;49.27;4.76;1.37;2612
kassadin;Kassadin;41.08;5.83;2.72;2612
