nome_join;Name;Win %;Pick %;Ban %;patch
katarina;Katarina;45.99;16.54;12.49;2612
kayle;Kayle;49.71;6.73;2.66;2612
kayn;Kayn;46.89;16.07;5.28;2612
kennen;Kennen;46.38;4.27;1.19;2612
khazix;Kha'Zix;44.82;11.3;3.61;2612
kindred;Kindred;47.87;5.18;1.75;2612
kled;Kled;49.89;3.53;0.79;2612
kogmaw;Kog'Maw;48.17;4.44;0.37;2612
ksante;K'Sante;44.03;10.29;3.71;2612
leblanc;LeBlanc;44.28;9.21;13.23;2612
leesin;Lee Sin;45.24;26.88;17.7;2612
leona;Leona;39.9;15.85;7.2;2612
lillia;Lillia;42.42;4.98;1.42;2612
lissandra;Lissandra;47.66;11.75;3.3;2612
lucian;Lucian;38.76;16.46;2.61;2612
lulu;Lulu;46.53;18.44;8.25;2612
lux;Lux;47.32;22.06;3.19;2612
malphite;Malphite;47.68;17.65;19.07;2612
malzahar;Malzahar;46.24;13.09;10.42;2612
maokai;Maokai;49.0;5.4;0.16;2612
masteryi;Master Yi;49.15;14.44;15.84;2612
mel;Mel;39.72;12.33;22.26;2612
milio;Milio;43.56;12.74;4.66;2612
missfortune;Miss Fortune;43.65;12.3;0.72;2612
mordekaiser;Mordekaiser;47.09;9.93;6.58;2612
morgana;Morgana;49.57;9.49;15.08;2612
naafiri;Naafiri;49.53;20.34;33.2;2612
nami;Nami;37.2;17.08;1.57;2612
nasus;Nasus;47.96;11.06;4.5;2612
nautilus;Nautilus;47.82;21.89;14.61;2612
neeko;Neeko;49.89;4.78;0.83;2612
nidalee;Nidalee;46.02;7.44;1.75;2612
nilah;Nilah;45.5;2.58;2.16;2612
nocturne;Nocturne;49.64;13.89;14.92;2612
nunu;Nunu & Willump;43.68;5.24;0.63;2612
olaf;Olaf;47.5;6.24;2.69;2612
orianna;Orianna;41.65;5.76;0.66;2612
ornn;Ornn;48.21;8.91;0.72;2612
pantheon;Pantheon;49.08;14.93;1.92;2612
poppy;Poppy;50.92;7.34;2.91;2612
pyke;Pyke;46.9;13.92;27.01;2612
qiyana;Qiyana;48.55;7.91;1.86;2612
quinn;Quinn;50.97;6.07;1.26;2612
rakan;Rakan;50.35;7.73;0.33;2612
rammus;Rammus;51.6;3.83;3.67;2612
reksai;Rek'Sai;49.89;6.17;2.63;2612
rell;Rell;45.44;7.48;1.09;2612
renata;Renata Glasc;40.87;2.21;0.13;2612
renekton;Renekton;42.07;10.37;4.03;2612
rengar;Rengar;44.83;9.56;9.56;2612
riven;Riven;47.37;10.8;3.57;2612
rumble;Rumble;47.19;4.82;1.21;2612
ryze;Ryze;44.01;7.7;0.67;2612
samira;Samira;41.24;9.26;6.01;2612
sejuani;Sejuani;45.81;4.41;0.17;2612
senna;Senna;41.63;51.64;26.64;2612
seraphine;Seraphine;49.43;26.32;8.37;2612
sett;Sett;47.19;10.49;2.26;2612
shaco;Shaco;45.37;11.76;16.78;2612
shen;Shen;51.48;10.12;0.94;2612
shyvana;Shyvana;40.19;8.95;5.25;2612
singed;Singed;48.46;6.14;1.0;2612
sion;Sion;49.86;14.58;1.42;2612
sivir;Sivir;35.35;9.47;1.79;2612
skarner;Skarner;44.04;3.57;0.28;2612
smolder;Smolder;37.1;14.44;10.66;2612
sona;Sona;46.95;5.48;0.22;2612
soraka;Soraka;45.13;10.43;2.26;2612
swain;Swain;48.15;9.82;1.74;2612
sylas;Sylas;49.97;38.16;17.71;2612
syndra;Syndra;46.02;16.45;4.33;2612
tahmkench;Tahm Kench;47.36;9.95;2.1;2612
taliyah;Taliyah;49.74;4.72;0.36;2612
talon;Talon;46.54;15.22;10.0;2612
taric;Taric;48.12;2.78;0.3;2612
teemo;Teemo;48.89;11.33;8.28;2612
thresh;Thresh;37.26;27.8;8.22;2612
tristana;Tristana;44.2;14.67;2.07;2612
trundle;Trundle;48.98;4.36;0.31;2612
tryndamere;Tryndamere;47.99;7.68;2.27;2612
twistedfate;Twisted Fate;47.15;12.18;1.01;2612
twitch;Twitch;45.69;11.53;5.74;2612
udyr;Udyr;47.39;5.61;0.99;2612
urgot;Urgot;50.5;5.2;0.77;2612
varus;Varus;43.98;9.88;3.56;2612
vayne;Vayne;48.07;17.59;12.15;2612
veigar;Veigar;48.54;9.67;0.93;2612
velkoz;Vel'Koz;45.03;12.21;1.71;2612
vex;Vex;46.23;5.25;3.05;2612
vi;Vi;45.52;10.76;1.34;2612
viego;Viego;48.75;20.03;7.54;2612
viktor;Viktor;41.02;20.25;10.43;2612
vladimir;Vladimir;42.62;14.51;7.67;2612
volibear;Volibear;47.02;7.27;1.42;2612
warwick;Warwick;48.57;9.2;1.66;2612
wukong;Wukong;49.29;12.99;1.67;2612
xayah;Xayah;40.64;7.4;0.5;2612
xerath;Xerath;49.82;18.58;8.32;2612
xinzhao;Xin Zhao;47.7;11.62;4.38;2612
yasuo;Yasuo;43.86;22.4;16.45;2612
yone;Yone;45.6;25.49;5.9;2612
yorick;Yorick;46.07;7.7;7.07;2612
yunara;Yunara;38.31;9.42;1.13;2612
yuumi;Yuumi;27.38;11.37;7.73;2612
zaahen;Zaahen;45.21;7.08;1.76;2612
zac;Zac;52.17;6.29;0.93;2612
zed;Zed;47.24;20.55;26.37;2612
zeri;Zeri;45.29;8.63;0.52;2612
ziggs;Ziggs;41.2;5.77;0.56;2612
zilean;Zilean;49.85;6.48;1.3;2612
zoe;Zoe;46.27;7.91;5.14;2612
zyra;Zyra;48.78;7.25;2.17;2612
